City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Biltine,TD,79.02,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
6,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
8,Rikitea,PF,70.25,clear sky,-23.1203,-134.9692,People ThankYou
9,Sola,VU,80.94,broken clouds,-13.8833,167.55,Leumerus Bungalows
11,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
13,Erenhot,CN,80.08,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
16,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
23,Itarema,BR,78.87,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
24,Butaritari,KI,83.26,light rain,3.0707,172.7902,Isles Sunset Lodge
27,Tabou,CI,74.97,overcast clouds,4.423,-7.3528,hotêl doufoulougou
34,Lompoc,US,79.02,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
40,Regina,CA,78.8,few clouds,50.4501,-104.6178,Wingate by Wyndham Regina
46,Mahuva,IN,82.6,broken clouds,21.0914,71.7622,Hotel Blue Diamond.
47,Atuona,PF,77.11,scattered clouds,-9.8,-139.0333,Villa Enata
49,Nerchinskiy Zavod,RU,71.69,clear sky,51.3088,119.61,Tat'yana
52,Nandyal,IN,78.12,overcast clouds,15.4833,78.4833,Hotel Shobha
57,Tubuala,PA,81.34,overcast clouds,9.5167,-79.0333,Río Nabagana
59,Hamilton,US,76.01,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
63,San Fernando,PH,78.96,heavy intensity rain,15.0286,120.6898,Maharlika Hostel
66,Vilhena,BR,73.62,clear sky,-12.7406,-60.1458,Hotel Mirage
70,Paracuru,BR,80.62,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
74,Nicoya,CR,72.95,overcast clouds,10.1483,-85.452,Guayacan Real
75,Pyinmana,MM,79.39,overcast clouds,19.7333,96.2167,"Win (Computer, Copier, Digital Stamp, Invitation Card, Trophy) Shop"
76,Cartagena Del Chaira,CO,70.38,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
79,Dingle,PH,82.96,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
80,Bowen,AU,79.02,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
82,Puerto Leguizamo,CO,71.6,overcast clouds,-0.1934,-74.7819,la casona de juancho
85,Hithadhoo,MV,80.82,broken clouds,-0.6,73.0833,Scoop Guest House
88,Porbandar,IN,82.9,light rain,21.6422,69.6093,Lords Inn Porbandar
89,Porto Novo,BJ,78.62,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
91,Touros,BR,72.5,few clouds,-5.1989,-35.4608,INN NEW HORIZON
93,Faanui,PF,78.06,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
95,Caico,BR,72.95,clear sky,-6.4583,-37.0978,Pousada Paraíso do Seridó
97,Acapulco,MX,82.4,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
